Street Names
First Avenue
Second Avenue
Third Avenue
Fourth Avenue
Fifth Avenue
Sixth Avenue aka Avenue of the Americas
Seventh Avenue aka Adam Clayton Powell Jr. Boulevard Avenue
Eighth Avenue
Ninth Avenue aka Columbus Avenue
Tenth Avenue aka Amsterdam Avenue
Eleventh Avenue
Twelfth Avenue aka West Side Highway
Thirteenth Avenue
New York City Streets numbered
4th Street
8th Street aka St. Mark’s Place
14th Street
23rd Street
34th Street
42nd Street
47th Street
50th Street
51st Street
52nd Street
53rd Street
54th Street
55th Street
57th Street
59th Street
60th Street
66th Street
72nd Street
74th Street
79th Street
85th Street
86th Street
89th Street
93rd Street
95th Street
96th Street
110th Street aka Central Park North and Cathedral Parkway
116th Street
125th Street
133rd Street
145th Street
155th Street
Manhattan Streets A – Z
Albany Street
Allen Street
Ann Street
Astor Place
Astor Row
Audubon Avenue
Avenue A
Avenue B
Avenue C
Avenue D
Avenue of the Americas
Bank Street
Baxter Street
Bleecker Street
Bogardus Place
Bond Street
Bowery
Bridge Street
Broad Street
Broadway
Broome Street
Cabrini Boulevard
Canal Street
Center Drive
Centre Market Place
Centre Street
Chambers Street
Charles Street
Chatham Square
Cherry Street
Chrystie Street
Church Street
Claremont Avenue
Coenties Slip
Columbus Circle
Cooper Square
Cortlandt Street
Delancey Street
Dey Street
Division Street
Doyers Street
Duke Ellington Circle
Dyckman Street
Dyer Avenue
East Broadway
East Drive
Eldridge Street
Elizabeth Street
Essex Street
Forsyth Street
Fort Washington Avenue
Franklin Square
Frederick Douglass Circle
Fulton Street
Gansevoort Street
Gay Street
George Abbott Way
Grand Street
Great Jones Street
Greenwich Avenue
Greenwich Street
Henry Street
Hester Street
Houston Street
Hudson Park and Boulevard
Hudson Street
Jones Street
Lafayette Street
Lenox Avenue
Leonard Street
Lexington Avenue
Liberty Street
Ludlow Street
MacDougal Street aka Washington Square West
Madison Avenue
Madison Street
Maiden Lane
Manhattan Avenue
Marketfield Street
Mercer Street
Mid-Manhattan Expressway
Morningside Drive
Mott Street
Mulberry Street
Nassau Street
North Moore Street
Orchard Street
Park Avenue
Park Row
Patchin Place
Pearl Street
Plaza Lafayette
Pleasant Avenue
Riverside Drive
Rivington Street
Roosevelt Street
Shubert Alley
South Street
Spring Street
Spruce Street
St. Nicholas Avenue
Stanton Street
State Street
Stone Street
Stuyvesant Street
Sullivan Street
Sylvan Place
Taras Shevchenko Place
Theatre Alley
Thompson Street
University Place
Vandam Street
Vanderbilt Avenue
Varick Street
Vesey Street
Wall Street
Washington Mews
Washington Street
Waverly Place
Weehawken Street
West Broadway
West Drive
West Side Elevated Highway
West Side Highway
Whitehall Street
William Street
Wooster Street
Worth Street
York Avenue and Sutton Place
