road_id,unique_key,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp
66930741_road,66930741,F,Unspecified,Other,
66930751_road,66930751,J,Unspecified,Mezzanine,
66935182_road,66935182,7,Unspecified,Mezzanine,
66928500_road,66928500,D,Unspecified,Entrance,
66927415_road,66927415,Cross Island Pkwy,North/Bronx Bound,Bell Blvd (Exit 32) - Throgs Neck Br Bronx New England (Exit 33),Roadway
66934092_road,66934092,C,B C Downtown & Brooklyn,Platform,
66933024_road,66933024,J,Unspecified,Mezzanine,
66931718_road,66931718,Long Island Expwy,West/Manhattan Bound,Maurice Ave (Exit 18) - Bklyn-Queens Expwy Brooklyn 48 St (I-278) (Exit 17W),Roadway
66935277_road,66935277,Henry Hudson Pkwy/Rt 9A,North/Bronx Bound,W 79 St (Exit 10) - W 96 St (Exit 11),Roadway
66935180_road,66935180,D,Unspecified,Other,
66933013_road,66933013,N,Unspecified,Stairway,
66930803_road,66930803,Cross Island Pkwy,South/Long Island Bound,Grand Central Pkwy Hauppauge Triboro Br (Exit 29 E-W) - Union Trnpke (Exit 28B),Roadway
66933025_road,66933025,J,Unspecified,Mezzanine,
66934106_road,66934106,J,Unspecified,Mezzanine,
66928498_road,66928498,F,F M Uptown & Queens,Platform,
66934107_road,66934107,1,1 Local Uptown & The Bronx,Platform,
66931875_road,66931875,Q,B Q to Manhattan,Platform,
66928497_road,66928497,B,Unspecified,Mezzanine,
66933143_road,66933143,Grand Central Pkwy,West/Toward RFK Triborough Bridge,Entrance Grand Central Pkwy,Ramp
66935179_road,66935179,J,Unspecified,Platform,
66929641_road,66929641,1,Unspecified,Mezzanine,
66931872_road,66931872,1,Unspecified,Stairway,
66930749_road,66930749,C,Unspecified,Platform,
66933020_road,66933020,1,Unspecified,Platform,
66928496_road,66928496,B,Unspecified,Platform,
66929642_road,66929642,L,Unspecified,Platform,
66934104_road,66934104,D,Unspecified,Entrance,58 St & 8 Av NW corner
66935184_road,66935184,3,Unspecified,Mezzanine,
66931874_road,66931874,D,Unspecified,Other,
66929776_road,66929776,Henry Hudson Pkwy/Rt 9A,North/Bronx Bound,W 96 St (Exit 11) - W 125 St (Exit 12),Roadway
66930754_road,66930754,C,Unspecified,Other,
66930752_road,66930752,J,Unspecified,Mezzanine,
66933140_road,66933140,Jackie Robinson/Interboro Pkwy,Eastbound,Myrtle Ave Woodhaven Blvd (Exit 5),Ramp
66928553_road,66928553,FDR Dr,Southbound/Downtown,E 49 St (Exit 10) - Midtown Tun E 34 St (Exit 8),Roadway
66934108_road,66934108,D,Unspecified,Platform,
66933144_road,66933144,Major Deegan Expwy,North/Westchester County Bound,E 155th St/W 153rd St (Exit 5),Ramp
66932003_road,66932003,Williamsburg Br,Brooklyn Bound,Outer Roadway,Roadway
66934102_road,66934102,6,6 Downtown,Platform,
66927420_road,66927420,R,Unspecified,Platform,
66935183_road,66935183,B,Unspecified,Mezzanine,
66934103_road,66934103,E,Unspecified,Entrance,W 23 St & 8 Av NE and SE corners (to Upt
66930753_road,66930753,Q,Unspecified,Entrance,
66931871_road,66931871,E,Unspecified,Other,
66933021_road,66933021,Q,Unspecified,Entrance,
66935177_road,66935177,Williamsburg Br,Manhattan Bound,Outer Roadway,Roadway
66930802_road,66930802,FDR Dr,Southbound/Downtown,Grand St Williamsburg Br (Exit 4),Ramp
66930742_road,66930742,N,Unspecified,Stairway,
66931865_road,66931865,N,Unspecified,Stairway,
66933023_road,66933023,J,Unspecified,Mezzanine,
66931873_road,66931873,J,Unspecified,Mezzanine,
66928477_road,66928477,Belt Pkwy,East/Queens Bound,Coney Is Ave (Exit 8),Ramp
66929625_road,66929625,Belt Pkwy,East/Queens Bound,Coney Is Ave (Exit 8),Ramp
66933012_road,66933012,D,Unspecified,Mezzanine,
66927421_road,66927421,F,F platform,Platform,
66930750_road,66930750,1,Unspecified,Entrance,
66927524_road,66927524,Queensboro/59th St Br,Manhattan Bound,Ramp,Ramp
66935181_road,66935181,F,Unspecified,Mezzanine,
66927414_road,66927414,1,1 Uptown & The Bronx,Platform,
66933022_road,66933022,7,Unspecified,Mezzanine,
66927413_road,66927413,F,Unspecified,Stairway,
66926247_road,66926247,F,Unspecified,Mezzanine,
